328 7470 -3354
329 8004 -1728
330 8188 -27
331 8014 1675
332 7490 3304
333 6639 4788
334 5498 6063
335 4117 7073
336 2556 7774
337 884 8135
338 -827 8141
339 -2502 7791
340 -4068 7100
341 -5456 6099
342 -6605 4831
343 -7466 3352
344 -8000 1726
345 -8185 25
346 -8012 -1678
347 -7489 -3307
348 -6638 -4792
349 -5497 -6068
350 -4116 -7079
351 -2555 -7780
352 -882 -8141
353 829 -8147
354 2504 -7797
355 4070 -7106
356 5458 -6105
357 6607 -4837
358 7468 -3358
359 8002 -1733
360 8187 -32
361 8014 1670
362 7491 3299
363 6641 4784
364 5501 6060
365 4121 7071
366 2561 7773
367 889 8135
368 -822 8142
369 -2497 7793
370 -4063 7103
371 -5452 6103
372 -6602 4836
373 -7464 3357
374 -7999 1731
375 -8185 30
376 -8013 -1673
377 -7491 -3303
378 -6641 -4789
379 -5501 -6065
380 -4120 -7076
381 -2559 -7778
382 -887 -8140
383 824 -8147
384 2499 -7798
385 4065 -7108
386 5453 -6108
387 6603 -4841
388 7465 -3363
389 8001 -1738
390 8187 -37
391 8015 1665
392 7493 3294
393 6644 4779
394 5505 6055
395 4126 7067
396 2566 7770
397 894 8133
398 -817 8141
399 -2492 7793
400 -4058 7104
401 -5447 6105
402 -6598 4839
403 -7461 3361
404 -7997 1736
405 -8184 35
406 -8013 -1668
407 -7492 -3298
408 -6643 -4784
409 -5504 -6061
410 -4124 -7073
411 -2564 -7776
412 -892 -8140
413 819 -8148
414 2494 -7800
415 4060 -7111
416 5449 -6112
417 6600 -4846
418 7463 -3369
419 8000 -1744
420 8187 -43
421 8017 1659
422 7496 3289
423 6648 4775
424 5510 6052
425 4131 7065
426 2572 7769
427 900 8134
428 -811 8143
429 -2487 7796
430 -4054 7108
431 -5444 6110
432 -6596 4844
433 -7460 3366
434 -7997 1741
435 -8185 40
436 -8015 -1663
437 -7495 -3293
438 -6647 -4780
439 -5509 -6058
440 -4130 -7071
441 -2570 -7775
442 -898 -8140
443 813 -8149
444 2489 -7802
445 4056 -7114
446 5446 -6116
447 6598 -4851
448 7462 -3374
449 8000 -1749
450 8188 -48
451 8019 1655
452 7499 3285
453 6652 4772
454 5514 6050
455 4135 7064
456 2576 7769
457 904 8134
458 -807 8144
459 -2483 7798
460 -4051 7111
461 -5441 6113
462 -6594 4848
463 -7458 3371
464 -7996 1746
465 -8185 45
466 -8016 -1658
467 -7497 -3289
468 -6650 -4776
469 -5512 -6055
470 -4133 -7069
471 -2574 -7774
472 -902 -8139
473 809 -8149
474 2485 -7803
475 4052 -7116
476 5442 -6118
477 6594 -4853
478 7458 -3377
479 7997 -1753
480 8186 -53
481 8018 1649
482 7499 3279
483 6653 4766
484 5516 6045
485 4138 7059
486 2580 7765
487 909 8131
488 -802 8142
489 -2478 7797
490 -4045 7111
491 -5436 6114
492 -6589 4850
493 -7454 3374
494 -7993 1750
495 -8183 50
496 -8015 -1653
497 -7497 -3284
498 -6651 -4771
499 -5514 -6050
500 -4136 -7065
